"ID","Type","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","classname","numberOfBugsFoundUntil:","numberOfNonTrivialBugsFoundUntil:","numberOfMajorBugsFoundUntil:","numberOfCriticalBugsFoundUntil:","numberOfHighPriorityBugsFoundUntil:","bug","nonTrivialBugs","majorBugs","criticalBugs","highPriorityBugs","numberOfVersionsUntil:","numberOfFixesUntil:","numberOfRefactoringsUntil:","numberOfAuthorsUntil:","linesAddedUntil:","maxLinesAddedUntil:","avgLinesAddedUntil:","linesRemovedUntil:","maxLinesRemovedUntil:","avgLinesRemovedUntil:","codeChurnUntil:","maxCodeChurnUntil:","avgCodeChurnUntil:","ageWithRespectTo:","weightedAgeWithRespectTo:","CvsEntropy","CvsWEntropy","CvsLinEntropy","CvsLogEntropy","CvsExpEntropy","cbo","dit","fanIn","fanOut","lcom","noc","numberOfAttributes","numberOfAttributesInherited","numberOfLinesOfCode","numberOfMethods","numberOfMethodsInherited","numberOfPrivateAttributes","numberOfPrivateMethods","numberOfPublicAttributes","numberOfPublicMethods","rfc","wmc"
"L86780","Class","$actionClass$","$packageName$.$actionClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/popupMenus/java/$actionClass$.java","10","1","44","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","4","0.8","0.413793","12","12","4","1","0.413793","12","0","0","0","0","0","17","35","1","0","1","0","4","0","4","1","4","3","0","4","1","17","35","1","0","1","0","4","0","4","1","4","3","0","4","1"
"L86241","Class","$activator$","$packageName$.$activator$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/helloOSGi/java/$activator$.java","6","1","24","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0.666667","0.5","8","8","2","1","0.5","8","0","0","0","0","0","8","19","0","0","0","0","2","0","2","0","2","2","0","2","0","8","19","0","0","0","0","2","0","2","0","2","2","0","2","0"
"L86249","Class","$activator$","$packageName$.$activator$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/helloOSGiService/java/$activator$.java","9","1","46","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","2","4","0.5","0.4","12","8","2","2","0.4","12","0","0","0","0","0","18","38","2","0","2","0","2","0","2","0","2","10","0","2","0","18","38","2","0","2","0","2","0","2","0","2","10","0","2","0"
"L86712","Class","$activator$","$packageName$.$activator$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/OSGiPreferencesService/java/$activator$.java","9","1","44","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0.5","0.37931","11","8","2","2","0.37931","11","0","0","0","0","0","18","36","3","0","3","0","2","0","2","0","2","9","0","2","0","18","36","3","0","3","0","2","0","2","0","2","9","0","2","0"
"L86726","Class","$activator$","$packageName$.$activator$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/OSGiSimpleLogService/java/$activator$.java","9","1","52","2","0","0","0","0","0","0","0","0","1","1","1","4","2","0","0","1","3","0.5","0.342857","12","8","2","2","0.342857","12","0","0","0","0","0","23","44","2","0","2","0","2","0","2","0","2","11","0","2","0","23","44","2","0","2","0","2","0","2","0","2","11","0","2","0"
"L86235","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/helloNonUIRCP/java/$applicationClass$.java","8","1","19","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0.571429","8","8","2","0","0.571429","8","0","0","0","0","0","6","12","0","0","0","0","1","0","1","0","1","2","0","1","0","6","12","0","0","0","0","1","0","1","0","1","2","0","1","0"
"L86275","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/helloRCP/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L86391","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/mail/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L86949","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/viewRCP/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L87130","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.1/helloRCP/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L87219","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.1/mail/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L87375","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.1/viewRCP/java/$applicationClass$.java","10","1","27","2","0.955556","2","4","2","0.666667","0.857143","12","12","1","2","2","2","1","0","0","0","1","1","0.3","6","6","3","0","0.3","6","0","0","0","0","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0","14","18","0","0","0","0","1","0","1","0","1","7","0","1","0"
"L87449","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.3/helloNonUIRCP/java/$applicationClass$.java","9","1","25","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","1","0.555556","10","9","4","0","0.555556","10","0","0","0","0","0","8","17","0","0","0","0","2","0","2","0","2","2","0","2","0","8","17","0","0","0","0","2","0","2","0","2","2","0","2","0"
"L87457","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.3/helloRCP/java/$applicationClass$.java","12","1","46","2","0.505618","1","3","1","0.342857","0.48","12","12","2","2","2","4","1","0","0","0","2","1","0.290323","9","9","4","0","0.257143","9","0","0","0","0","0","22","31","0","0","0","0","2","0","2","0","2","12","0","2","0","26","35","0","0","0","0","3","0","3","0","3","14","0","3","0"
"L87558","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.3/mail/java/$applicationClass$.java","12","1","45","2","0.977528","3","7","3","0.705882","0.923077","24","24","2","2","2","4","1","0","0","0","2","1","0.290323","9","9","4","0","0.257143","9","0","0","0","0","0","22","30","0","0","0","0","2","0","2","0","2","12","0","2","0","26","34","0","0","0","0","3","0","3","0","3","14","0","3","0"
"L87935","Class","$applicationClass$","$packageName$.$applicationClass$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.3/viewRCP/java/$applicationClass$.java","12","1","45","2","0.977528","3","7","3","0.705882","0.923077","24","24","2","2","2","4","1","0","0","0","2","1","0.290323","9","9","4","0","0.257143","9","0","0","0","0","0","22","30","0","0","0","0","2","0","2","0","2","12","0","2","0","26","34","0","0","0","0","3","0","3","0","3","14","0","3","0"
"L87467","Class","$applicationClass$$1","$packageName$.$applicationClass$$1","L87463","L103","src/org.eclipse.pde.ui.templates/templates_3.3/helloRCP/java/$applicationClass$.java","39","35","44","4","1","1","3","1","1","1","6","6","1","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0"
"L87568","Class","$applicationClass$$1","$packageName$.$applicationClass$$1","L87564","L103","src/org.eclipse.pde.ui.templates/templates_3.3/mail/java/$applicationClass$.java","38","35","43","4","1","1","3","1","1","1","6","6","1","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0"
"L87945","Class","$applicationClass$$1","$packageName$.$applicationClass$$1","L87941","L103","src/org.eclipse.pde.ui.templates/templates_3.3/viewRCP/java/$applicationClass$.java","38","35","43","4","1","1","3","1","1","1","6","6","1","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0"
"L85943","Class","$builderClassName$","$packageName$.$builderClassName$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/builder/java/$builderClassName$.java","23","1","166","2","0","0","0","0","0","0","0","0","2","2","2","17","3","4","3","1","8","0","0.0945946","7","6","0","1","0.136","17","0","0","0","0","0","67","87","3","1","3","1","7","1","0","0","7","28","1","0","0","108","144","4","1","4","1","14","1","6","0","14","43","1","6","0"
"L85945","Class","$builderClassName$$SampleDeltaVisitor","$packageName$.$builderClassName$$SampleDeltaVisitor","L85943","L103","src/org.eclipse.pde.ui.templates/templates_3.0/builder/java/$builderClassName$.java","25","2","49","3","0","0","0","0","0","0","0","0","1","1","1","4","1","1","0","1","2","0.5","0.36","9","5","1","1","0.36","9","0","0","0","0","0","16","25","0","0","0","0","1","0","1","0","1","8","0","1","0","16","25","0","0","0","0","1","0","1","0","1","8","0","1","0"
"L85952","Class","$builderClassName$$SampleResourceVisitor","$packageName$.$builderClassName$$SampleResourceVisitor","L85943","L103","src/org.eclipse.pde.ui.templates/templates_3.0/builder/java/$builderClassName$.java","51","2","57","3","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","2","0","0.142857","1","0","0","2","0.142857","1","0","0","0","0","0","6","7","0","0","0","0","1","0","1","0","1","2","0","1","0","6","7","0","0","0","0","1","0","1","0","1","2","0","1","0"
"L85956","Class","$builderClassName$$XMLErrorHandler","$packageName$.$builderClassName$$XMLErrorHandler","L85943","L103","src/org.eclipse.pde.ui.templates/templates_3.0/builder/java/$builderClassName$.java","59","2","83","3","0","0","0","0","0","0","0","0","1","0","0","5","1","1","1","1","6","0","0","0","0","0","5","0","0","0","0","0","0","0","19","25","1","0","1","0","5","0","4","0","5","5","0","4","0","19","25","1","0","1","0","5","0","4","0","5","5","0","4","0"
"L86295","Class","$className$","$packageName$.$className$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/helloWorld/java/$className$.java","17","1","64","2","0","0","0","0","0","0","0","0","3","0","0","5","0","0","0","0","5","1","0.653846","34","34","6","0","0.653846","34","0","0","0","0","0","18","48","1","0","1","0","5","0","5","0","5","2","0","5","0","18","48","1","0","1","0","5","0","5","0","5","2","0","5","0"
"L86820","Class","$className$","$packageName$.$className$","L85744","L103","src/org.eclipse.pde.ui.templates/templates_3.0/propertyPages/java/$className$.java","15","1","125","2","0","0","0","0","0","0","0","0","1","1","1","11","0","0","0","0","8","0.5","0.142857","13","6","2","2","0.142857","13","0","0","0","0","0","78","111","6","0","6","0","8","0","2","0","8","46","0","2","0","78","111","6","0","6","0","8","0","2","0","8","46","0","2","0"
